名称,类型,主播,热度
最新飞刀☞正棋☞秒杀一切套路歪招不服来战,中国象棋,八卦象棋大师,457964
斗鱼NO.1最强心理学狼人杀技术主播,狼人杀,法拉利的直播间,448424
单排52连胜！细致诺手单杀打团教学！,英雄联盟,旋转的老刘诺手,446221
【交友】本厅由公瑾冠名长期招主持,交友,星娛樂一阿Q交友,285140
新主播求关注可盐可甜小姐姐~,一起看,婉歌baby,284620
普朗东：我吃鸡，你吃饭,绝地求生,普朗东丷,442552
隐世国1高手94星单排上百星,王者荣耀,守护丶遇见美好,441589
模拟吴国射克制阵容教学,王者模拟战,QG焦太郎,440902
新主播坐标深圳,颜值,一只小sunny啊,279649
午夜恐怖故事...,直播中国,羽伞恐怖故事,279121
净化马可创始人?,王者荣耀,BOA杭杭,434818
6指神人继续与外挂斗争冲战神。,和平精英,你喜欢花臂吗,424117
斗鱼第一嫦娥：声优大魔王,王者荣耀,老杨宠溺小咩咩,422849
治愈系初恋青榎,颜值,青榎,275736
我们凌晨5点见,颜值,温柔小扶瑶,273155
锤子:用枪法堵住你们的嘴,CS:GO,CSGO解说伟伟,418863
花里胡哨漫游教学！,DNF,漫游kiss欢,415739
跨六强化赞助！精神小伙！今天绝对下饭！,DNF,DNF伟神,414012
唱歌主播❤世界这么大还是遇见你,颜值,l潇潇妞妞,270482
【交友】长期招优质主持6686791,交友,王者一胜者为王,268640
新赛季辽崽崽们。,守望先锋,工口工口工口,412534
美测服关闭一小会儿打两盘峡谷继续新赛季,英雄联盟,中年人拳师七号,403082
夏洛克：狙神,绝地求生,你好我是夏洛克,402372
神秘用户大哥牛逼招主持主播高待遇,交友,王者一你的鱼塘,268550
粤语歌come!!!,颜值,鹿屿嘉嘉嘉JIa,267786
强化增幅合天空不排队,DNF,主播东门,401451
最先进的打法速9来了,王者模拟战,eStarPro易老湿,400483
六点半，每周更新为你加速！,在线教育,陈翔六点半,398722
初次见面你好...,舞蹈,宣可儿,261812
直播山东青岛【武汉加油】,直播中国,青岛小嫚儿,260551
S3初体验之在挨揍中成长！！！,lol云顶之弈,十四云顶,79545
第一男刀：三级不单杀请举报主播，谢谢！,英雄联盟,智勋勋勋勋,2321538
想把我唱给你听~8293289,颜值,卡艾呆k,6641
是心动呀~！,颜值,林小鸟a,343752
晚上好！！！！！8216274,颜值,你的阿惹,125124
阳光明媚小戏精新猪播,舞蹈,钱兜兜啊,26287
双省服开战,王者荣耀,乘苏贼菜,4037
【林蒙】进来学技术,王者荣耀,林蒙m,1672016
你笑起来真好看7904676,颜值,蕾蕾酱y,338355
麻辣女教师在线点歌,户外,长沙乡村敢死队,2051172
单排冲百星的路上！输了发99！,王者荣耀,温柚v最强女打野,1665204
人帅枪准,APEX英雄,老张zzzzzzzzZ,77171
全能之秀秀翻全场,王者荣耀,BOA小强,1468069
做个快乐的自己485503,户外,彡彡九户外,1819545
世界这么大还是遇见你7642429,颜值,王漂亮哦,58843
一刀暴击流凯一刀暴击8000+逆天伤害,王者荣耀,A老回,1246571
余小C：就差一点，我是宗师,英雄联盟,余小C真的很强,1238888
【骚某某】小骚回来啦！,绝地求生,我是骚某某,1188925
快乐的一天337852,户外,洪湖小肖,1193685
带你游玩巴厘岛明星旅拍场地。,直播中国,携程旅游,876145
我只想回一天血！宝贝来吧，GO！,DNF,DNF黑一阿旭,1187635
小蓝在线(｡･∀･)ﾉﾞ嗨,绝地求生,蓝战非OvO,1174181
请问这里是炉石区声音最大的直播间吗？,炉石传说,恩基爱萌萌哒的狗贼,1089075
喵喵喵喵～～,颜值,可爱的圆圆啊,234080
【交友】招收交友主持/颜值第一,交友,爱约一只如初见,749896
峡谷之巅冲第一3567314,英雄联盟,王纪超666,1087110
无它唯手残尔！,和平精英,Forever浪子断,1079345
我的要求并不高，爆发一次就好,DNF,我是大坤坤啊,1060507
寻找老公粉101天,舞蹈,尹恩恩1,710968
直-是你有温度的播放器~,电台新声,赵贝贝i,675255
舒服么？？？？？？？,欢乐麻将,靓旭,1055610
3月你好冲冲冲,欢乐麻将,暴Tui团丶臭帝帝,1020987
雪龅突击队：整活整活,绝地求生,妃凌雪,1004684
失踪人口悄咪咪开播一下下~,颜值,超甜的陶子,588280
钢琴纯音乐小主播在线演奏,颜值,你隔壁的绵小姐,559367
五鸡下播！不拼鸡不欠鸡不偷鸡！,炉石传说,衣锦夜行,1001010
2019KPL春季赛经典回顾,王者荣耀,王者荣耀官方赛事,981196
这是101年前的世界大战,战地风云,超级小桀,952457
念念不忘必有回响,颜值,小花不敢吃鱼了,553966
一只萌新小猪啵～,颜值,糯米么,538772
希望大家身体都健健康康鼠年大吉,DOTA2,谢彬DD,945662
进来看看无敌,英雄联盟,孙悟空丨兰林汉,915911
来这里开心就好！74960,DOTA2,叫我老陈就好了,869748
乍见之欢久处不厌,颜值,猪洛洛Athene,526428
【交友】私人由汐阳elapse.天鱼哥冠,交友,SR一私人订制,462915
油条:上单ad莫甘娜堕落之神!!,英雄联盟,主播油条,864342
【橙子】猛男场均52杀单人四排无敌战神,绝地求生,神秘嘉宾橙子,856193
斗鱼主场友谊赛,CF手游,CFML斗鱼主场,815832
长沙最刚小改改！！,颜值,优雅酱o,447067
【交友】招收优质全职女主持！,交友,小象一如鲸向海,442392
多多自走棋明星战队赛,多多自走棋,imba自走棋,813428
对付吴国射，长城坦射刺客加入,王者模拟战,甄知棒,786296
CFGIRL精彩集锦,穿越火线,穿越火线赛事,726019
【交友】招主持/兔叽/雪哥/宝哥/猪哥冠,交友,Hm一订制女友,433219
请不要错过我3518103,颜值,你的美兮呀,420391
狗狐狸：首席鉴挂师！,逃离塔科夫,狐狸不太Sao,661899
OPPOFindX2新机发布会,数码科技,科技美学中国,619613
初级会计考点精讲课程,在线教育,环球网校会计,616128
这个天气适合单车,颜值,soso文小姐,398874
《海南环岛徒步行》白马井—临高day1,户外,逐梦兄弟,383949
云顶阴阳家王者分段上分教学！！！,lol云顶之弈,卷子丶,615344
上分速度堪比高铁！！,王者荣耀,少年不太冷Rex,598139
【奇迹星周末】3.6号17点,绝地求生,斗鱼绝地赛事,596209
[交友]斗鱼第一颜值聊天/交友/点唱厅,交友,爱约一爱约之夏,376080
舞蹈中......,舞蹈,妹妹酱a,371076
你们的好朋友。YJJ,绝地求生,yjjimpaopao,588118
熊弟们好，今天稍微讲解排位思路,CS:GO,loveyou_qq,583002
先遨游东南亚，4点解说Minor,DOTA2,龚建ZSMJ,571249
天天见，1.2倍亲密度喔~,颜值,小丽比,365210
清纯可爱邻家小妹,颜值,航航小姐姐,327667
重播【2020好汉杯】,绝地求生,黄金大奖赛,565086
1.5倍亲密度！激情继续！,三国杀,丶砍你焉用菜刀,555156
村服吕布；单排荣耀局，杀疯了！,王者荣耀,八神君Lpp,552819
本厅由念导独家霸冠,交友,王者一重点对象,325569
【交友】高待遇招颜值声优主持,交友,爱约一缘来是你,324307
全能野王微信区带粉,王者荣耀,渝万五百狸子3岁,552017
表弟：每天靠水友带我吃鸡,和平精英,小QIMBA,546975
【陪看】英雄联盟经典赛事点播,英雄联盟,英雄联盟经典赛事点播,544184
保护我方美鹿,颜值,你的美鹿,320598
云游看全球,直播中国,全球景点直播002,312045
乐园打造，强化13振幅111213,DNF,今日不服,540652
环世界-不读档者抹抹茶,环世界,午夜抹抹茶,522769
阵容收集工作ing...,阴阳师,高翔XiangBro,477303
深情不及久伴6546636,颜值,你的琼琼阿,306213
北京-水立方,直播中国,直播中国02,304376
专家建议：再来五北哈哈,DNF,丶才子欧巴,468043
1.2倍亲密度记得续牌子哦~,绝地求生,我就是图图阿,463235
草莓：5天内必回大师第5天,英雄联盟,草莓,460418
新厅求冠名！！！,交友,王者一涅槃重生,288708
【交友】收全职妹妹/AK哥顶级冠名,交友,王者一夜色撩人,287243
最新飞刀☞正棋☞秒杀一切套路歪招不服来战,中国象棋,八卦象棋大师,457964
斗鱼NO.1最强心理学狼人杀技术主播,狼人杀,法拉利的直播间,448424
单排52连胜！细致诺手单杀打团教学！,英雄联盟,旋转的老刘诺手,446221
【交友】本厅由公瑾冠名长期招主持,交友,星娛樂一阿Q交友,285140
新主播求关注可盐可甜小姐姐~,一起看,婉歌baby,284620
普朗东：我吃鸡，你吃饭,绝地求生,普朗东丷,442552
隐世国1高手94星单排上百星,王者荣耀,守护丶遇见美好,441589
模拟吴国射克制阵容教学,王者模拟战,QG焦太郎,440902
新主播坐标深圳,颜值,一只小sunny啊,279649
午夜恐怖故事...,直播中国,羽伞恐怖故事,279121
净化马可创始人?,王者荣耀,BOA杭杭,434818
6指神人继续与外挂斗争冲战神。,和平精英,你喜欢花臂吗,424117
斗鱼第一嫦娥：声优大魔王,王者荣耀,老杨宠溺小咩咩,422849
治愈系初恋青榎,颜值,青榎,275736
我们凌晨5点见,颜值,温柔小扶瑶,273155
锤子:用枪法堵住你们的嘴,CS:GO,CSGO解说伟伟,418863
花里胡哨漫游教学！,DNF,漫游kiss欢,415739
跨六强化赞助！精神小伙！今天绝对下饭！,DNF,DNF伟神,414012
唱歌主播❤世界这么大还是遇见你,颜值,l潇潇妞妞,270482
【交友】长期招优质主持6686791,交友,王者一胜者为王,268640
新赛季辽崽崽们。,守望先锋,工口工口工口,412534
美测服关闭一小会儿打两盘峡谷继续新赛季,英雄联盟,中年人拳师七号,403082
夏洛克：狙神,绝地求生,你好我是夏洛克,402372
神秘用户大哥牛逼招主持主播高待遇,交友,王者一你的鱼塘,268550
粤语歌come!!!,颜值,鹿屿嘉嘉嘉JIa,267786
强化增幅合天空不排队,DNF,主播东门,401451
最先进的打法速9来了,王者模拟战,eStarPro易老湿,400483
六点半，每周更新为你加速！,在线教育,陈翔六点半,398722
初次见面你好...,舞蹈,宣可儿,261812
直播山东青岛【武汉加油】,直播中国,青岛小嫚儿,260551
S3初体验之在挨揍中成长！！！,lol云顶之弈,十四云顶,79545
第一男刀：三级不单杀请举报主播，谢谢！,英雄联盟,智勋勋勋勋,2321538
想把我唱给你听~8293289,颜值,卡艾呆k,6641
是心动呀~！,颜值,林小鸟a,343752
晚上好！！！！！8216274,颜值,你的阿惹,125124
阳光明媚小戏精新猪播,舞蹈,钱兜兜啊,26287
双省服开战,王者荣耀,乘苏贼菜,4037
【林蒙】进来学技术,王者荣耀,林蒙m,1672016
你笑起来真好看7904676,颜值,蕾蕾酱y,338355
麻辣女教师在线点歌,户外,长沙乡村敢死队,2051172
单排冲百星的路上！输了发99！,王者荣耀,温柚v最强女打野,1665204
人帅枪准,APEX英雄,老张zzzzzzzzZ,77171
全能之秀秀翻全场,王者荣耀,BOA小强,1468069
做个快乐的自己485503,户外,彡彡九户外,1819545
世界这么大还是遇见你7642429,颜值,王漂亮哦,58843
一刀暴击流凯一刀暴击8000+逆天伤害,王者荣耀,A老回,1246571
余小C：就差一点，我是宗师,英雄联盟,余小C真的很强,1238888
【骚某某】小骚回来啦！,绝地求生,我是骚某某,1188925
快乐的一天337852,户外,洪湖小肖,1193685
带你游玩巴厘岛明星旅拍场地。,直播中国,携程旅游,876145
我只想回一天血！宝贝来吧，GO！,DNF,DNF黑一阿旭,1187635
小蓝在线(｡･∀･)ﾉﾞ嗨,绝地求生,蓝战非OvO,1174181
请问这里是炉石区声音最大的直播间吗？,炉石传说,恩基爱萌萌哒的狗贼,1089075
喵喵喵喵～～,颜值,可爱的圆圆啊,234080
【交友】招收交友主持/颜值第一,交友,爱约一只如初见,749896
峡谷之巅冲第一3567314,英雄联盟,王纪超666,1087110
无它唯手残尔！,和平精英,Forever浪子断,1079345
我的要求并不高，爆发一次就好,DNF,我是大坤坤啊,1060507
寻找老公粉101天,舞蹈,尹恩恩1,710968
直-是你有温度的播放器~,电台新声,赵贝贝i,675255
舒服么？？？？？？？,欢乐麻将,靓旭,1055610
3月你好冲冲冲,欢乐麻将,暴Tui团丶臭帝帝,1020987
雪龅突击队：整活整活,绝地求生,妃凌雪,1004684
失踪人口悄咪咪开播一下下~,颜值,超甜的陶子,588280
钢琴纯音乐小主播在线演奏,颜值,你隔壁的绵小姐,559367
五鸡下播！不拼鸡不欠鸡不偷鸡！,炉石传说,衣锦夜行,1001010
2019KPL春季赛经典回顾,王者荣耀,王者荣耀官方赛事,981196
这是101年前的世界大战,战地风云,超级小桀,952457
念念不忘必有回响,颜值,小花不敢吃鱼了,553966
一只萌新小猪啵～,颜值,糯米么,538772
希望大家身体都健健康康鼠年大吉,DOTA2,谢彬DD,945662
进来看看无敌,英雄联盟,孙悟空丨兰林汉,915911
来这里开心就好！74960,DOTA2,叫我老陈就好了,869748
乍见之欢久处不厌,颜值,猪洛洛Athene,526428
【交友】私人由汐阳elapse.天鱼哥冠,交友,SR一私人订制,462915
油条:上单ad莫甘娜堕落之神!!,英雄联盟,主播油条,864342
【橙子】猛男场均52杀单人四排无敌战神,绝地求生,神秘嘉宾橙子,856193
斗鱼主场友谊赛,CF手游,CFML斗鱼主场,815832
长沙最刚小改改！！,颜值,优雅酱o,447067
【交友】招收优质全职女主持！,交友,小象一如鲸向海,442392
多多自走棋明星战队赛,多多自走棋,imba自走棋,813428
对付吴国射，长城坦射刺客加入,王者模拟战,甄知棒,786296
CFGIRL精彩集锦,穿越火线,穿越火线赛事,726019
【交友】招主持/兔叽/雪哥/宝哥/猪哥冠,交友,Hm一订制女友,433219
请不要错过我3518103,颜值,你的美兮呀,420391
狗狐狸：首席鉴挂师！,逃离塔科夫,狐狸不太Sao,661899
OPPOFindX2新机发布会,数码科技,科技美学中国,619613
初级会计考点精讲课程,在线教育,环球网校会计,616128
这个天气适合单车,颜值,soso文小姐,398874
《海南环岛徒步行》白马井—临高day1,户外,逐梦兄弟,383949
云顶阴阳家王者分段上分教学！！！,lol云顶之弈,卷子丶,615344
上分速度堪比高铁！！,王者荣耀,少年不太冷Rex,598139
【奇迹星周末】3.6号17点,绝地求生,斗鱼绝地赛事,596209
[交友]斗鱼第一颜值聊天/交友/点唱厅,交友,爱约一爱约之夏,376080
舞蹈中......,舞蹈,妹妹酱a,371076
你们的好朋友。YJJ,绝地求生,yjjimpaopao,588118
熊弟们好，今天稍微讲解排位思路,CS:GO,loveyou_qq,583002
先遨游东南亚，4点解说Minor,DOTA2,龚建ZSMJ,571249
天天见，1.2倍亲密度喔~,颜值,小丽比,365210
清纯可爱邻家小妹,颜值,航航小姐姐,327667
重播【2020好汉杯】,绝地求生,黄金大奖赛,565086
1.5倍亲密度！激情继续！,三国杀,丶砍你焉用菜刀,555156
村服吕布；单排荣耀局，杀疯了！,王者荣耀,八神君Lpp,552819
本厅由念导独家霸冠,交友,王者一重点对象,325569
【交友】高待遇招颜值声优主持,交友,爱约一缘来是你,324307
全能野王微信区带粉,王者荣耀,渝万五百狸子3岁,552017
表弟：每天靠水友带我吃鸡,和平精英,小QIMBA,546975
【陪看】英雄联盟经典赛事点播,英雄联盟,英雄联盟经典赛事点播,544184
保护我方美鹿,颜值,你的美鹿,320598
云游看全球,直播中国,全球景点直播002,312045
乐园打造，强化13振幅111213,DNF,今日不服,540652
环世界-不读档者抹抹茶,环世界,午夜抹抹茶,522769
阵容收集工作ing...,阴阳师,高翔XiangBro,477303
深情不及久伴6546636,颜值,你的琼琼阿,306213
北京-水立方,直播中国,直播中国02,304376
专家建议：再来五北哈哈,DNF,丶才子欧巴,468043
1.2倍亲密度记得续牌子哦~,绝地求生,我就是图图阿,463235
草莓：5天内必回大师第5天,英雄联盟,草莓,460418
新厅求冠名！！！,交友,王者一涅槃重生,288708
【交友】收全职妹妹/AK哥顶级冠名,交友,王者一夜色撩人,287243
最新飞刀☞正棋☞秒杀一切套路歪招不服来战,中国象棋,八卦象棋大师,457964
斗鱼NO.1最强心理学狼人杀技术主播,狼人杀,法拉利的直播间,448424
单排52连胜！细致诺手单杀打团教学！,英雄联盟,旋转的老刘诺手,446221
